fecha;material;cantidad
27/01/2017;BANDEJAS;2
27/01/2017;BANDEJAS;2
27/01/2017;BANDEJAS;2
28/01/2017;BANDEJAS;4
29/01/2017;FIBRA OPTICA DE 48 HILOS;178
29/01/2017;FIBRA OPTICA DE 48 HILOS;178
29/01/2017;BANDEJAS;1
30/01/2017;MUFAS PUP;1
30/01/2017;BANDEJAS;4
30/01/2017;CRUCETAS;1
30/01/2017;MUFAS PUP;1
30/01/2017;BANDEJAS;4
30/01/2017;CRUCETAS;1
30/01/2017;BANDEJAS;1
30/01/2017;BANDEJAS;1
31/01/2017;BANDEJAS;2
31/01/2017;BANDEJAS;1
31/01/2017;MUFAS PUP;1
31/01/2017;BANDEJAS;6
1/02/2017;BANDEJAS;1
1/02/2017;BANDEJAS;1
1/02/2017;FIBRA OPTICA DE 48 HILOS;100
2/02/2017;FIBRA OPTICA DE 48 HILOS;75
2/02/2017;BANDEJAS;1
3/02/2017;MUFAS PUP;1
3/02/2017;BANDEJAS;2
3/02/2017;FIBRA OPTICA DE 48 HILOS;25
3/02/2017;MUFAS PUP;1
3/02/2017;BANDEJAS;4
3/02/2017;MUFAS PUP;1
3/02/2017;BANDEJAS;2
3/02/2017;FIBRA OPTICA DE 48 HILOS;25
3/02/2017;MUFAS PUP;1
3/02/2017;BANDEJAS;4
3/02/2017;BANDEJAS;1
3/02/2017;BANDEJAS;2
4/02/2017;MUFAS PUP;1
4/02/2017;BANDEJAS;2
6/02/2017;MUFAS PUP;1
6/02/2017;BANDEJAS;1
6/02/2017;MUFAS PUP;1
6/02/2017;BANDEJAS;1
6/02/2017;BANDEJAS;1
6/02/2017;BANDEJAS;2
7/02/2017;BANDEJAS;1
7/02/2017;BANDEJAS;2
8/02/2017;BANDEJAS;2
9/02/2017;BANDEJAS;1
9/02/2017;BANDEJAS;1
10/02/2017;BANDEJAS;1
10/02/2017;MUFAS PUP;1
10/02/2017;BANDEJAS;4
10/02/2017;FIBRA OPTICA DE 48 HILOS;342
10/02/2017;BANDEJAS;1
10/02/2017;MUFAS PUP;1
10/02/2017;BANDEJAS;4
10/02/2017;FIBRA OPTICA DE 48 HILOS;342
10/02/2017;BANDEJAS;1
10/02/2017;BANDEJAS;1
10/02/2017;MUFAS PUP;1
10/02/2017;BANDEJAS;4
11/02/2017;BANDEJAS;2
11/02/2017;BANDEJAS;2
11/02/2017;BANDEJAS;1
12/02/2017;BANDEJAS;2
13/02/2017;BANDEJAS;2
13/02/2017;BANDEJAS;2
13/02/2017;BANDEJAS;2
13/02/2017;BANDEJAS;2
13/02/2017;MUFAS PUP;1
13/02/2017;BANDEJAS;4
14/02/2017;BANDEJAS;1
15/02/2017;MUFAS PUP;1
15/02/2017;BANDEJAS;3
15/02/2017;MUFAS PUP;1
15/02/2017;BANDEJAS;3
15/02/2017;BANDEJAS;2
15/02/2017;BANDEJAS;1
15/02/2017;BANDEJAS;2
15/02/2017;MUFAS PUP;2
15/02/2017;BANDEJAS;8
15/02/2017;BANDEJAS;1
15/02/2017;BANDEJAS;2
16/02/2017;MUFAS PUP;2
16/02/2017;BANDEJAS;8
16/02/2017;BANDEJAS;1
17/02/2017;BANDEJAS;1
17/02/2017;BANDEJAS;2
18/02/2017;BANDEJAS;1
18/02/2017;BANDEJAS;1
20/02/2017;BANDEJAS;2
20/02/2017;BANDEJAS;2
20/02/2017;BANDEJAS;2
21/02/2017;BANDEJAS;2
21/02/2017;BANDEJAS;2
22/02/2017;BANDEJAS;5
22/02/2017;BANDEJAS;5
22/02/2017;BANDEJAS;2
22/02/2017;MUFAS PUP;1
22/02/2017;BANDEJAS;4
23/02/2017;MUFAS PUP;2
23/02/2017;BANDEJAS;4
23/02/2017;FIBRA OPTICA DE 48 HILOS;299
23/02/2017;CRUCETAS;1
23/02/2017;MUFAS PUP;2
23/02/2017;BANDEJAS;4
23/02/2017;FIBRA OPTICA DE 48 HILOS;299
23/02/2017;CRUCETAS;1
23/02/2017;MUFAS PUP;2
23/02/2017;BANDEJAS;8
25/02/2017;BANDEJAS;2
26/02/2017;MUFAS PUP;1
26/02/2017;BANDEJAS;6
27/02/2017;BANDEJAS;1
28/02/2017;BANDEJAS;1
28/02/2017;MUFAS PUP;1
28/02/2017;BANDEJAS;1
28/02/2017;BANDEJAS;2
28/02/2017;BANDEJAS;1
1/03/2017;BANDEJAS;2
2/03/2017;BANDEJAS;2
2/03/2017;BANDEJAS;1
2/03/2017;FIBRA OPTICA DE 48 HILOS;203
2/03/2017;MUFAS PUP;4
2/03/2017;BANDEJAS;16
2/03/2017;FIBRA OPTICA DE 48 HILOS;166
2/03/2017;MUFAS PUP;4
2/03/2017;BANDEJAS;18
3/03/2017;BANDEJAS;2
3/03/2017;BANDEJAS;2
3/03/2017;BANDEJAS;1
3/03/2017;FIBRA OPTICA DE 48 HILOS;176
3/03/2017;MUFAS PUP;1
3/03/2017;BANDEJAS;4
4/03/2017;BANDEJAS;4
4/03/2017;MUFAS PUP;1
4/03/2017;BANDEJAS;4
4/03/2017;MUFAS PUP;1
4/03/2017;BANDEJAS;2
4/03/2017;BANDEJAS;2
4/03/2017;FIBRA OPTICA DE 48 HILOS;86
4/03/2017;MUFAS PUP;2
4/03/2017;BANDEJAS;8
6/03/2017;BANDEJAS;1
6/03/2017;BANDEJAS;1
6/03/2017;BANDEJAS;2
6/03/2017;BANDEJAS;1
7/03/2017;FIBRA OPTICA DE 48 HILOS;300
7/03/2017;MUFAS PUP;1
7/03/2017;BANDEJAS;2
8/03/2017;BANDEJAS;1
8/03/2017;BANDEJAS;1
8/03/2017;BANDEJAS;1
8/03/2017;BANDEJAS;2
8/03/2017;BANDEJAS;1
8/03/2017;MUFAS PUP;1
8/03/2017;BANDEJAS;3
8/03/2017;MUFAS PUP;1
8/03/2017;BANDEJAS;24
8/03/2017;CRUCETAS;3
9/03/2017;FIBRA OPTICA DE 48 HILOS;284
9/03/2017;MUFAS PUP;1
9/03/2017;BANDEJAS;4
9/03/2017;BANDEJAS;2
10/03/2017;BANDEJAS;1
10/03/2017;BANDEJAS;1
10/03/2017;BANDEJAS;1
10/03/2017;BANDEJAS;1
11/03/2017;MUFAS PUP;1
11/03/2017;BANDEJAS;4
11/03/2017;MUFAS PUP;1
11/03/2017;BANDEJAS;4
11/03/2017;FIBRA OPTICA DE 48 HILOS;147
11/03/2017;MUFAS PUP;1
11/03/2017;BANDEJAS;6
11/03/2017;FIBRA OPTICA DE 48 HILOS;357
11/03/2017;BANDEJAS;13
12/03/2017;MUFAS PUP;1
12/03/2017;BANDEJAS;3
12/03/2017;BANDEJAS;2
13/03/2017;MUFAS PUP;1
13/03/2017;BANDEJAS;4
13/03/2017;MUFAS PUP;1
13/03/2017;BANDEJAS;4
13/03/2017;BANDEJAS;1
13/03/2017;BANDEJAS;1
13/03/2017;BANDEJAS;2
13/03/2017;FIBRA OPTICA DE 48 HILOS;97
13/03/2017;MUFAS PUP;2
13/03/2017;BANDEJAS;4
14/03/2017;MUFAS PUP;2
14/03/2017;BANDEJAS;4
14/03/2017;FIBRA OPTICA DE 48 HILOS;175
14/03/2017;MUFAS PUP;2
14/03/2017;BANDEJAS;4
14/03/2017;FIBRA OPTICA DE 48 HILOS;175
14/03/2017;MUFAS PUP;2
14/03/2017;BANDEJAS;10
14/03/2017;CRUCETAS;1
15/03/2017;BANDEJAS;1
15/03/2017;MUFAS PUP;1
15/03/2017;BANDEJAS;4
15/03/2017;MUFAS PUP;1
15/03/2017;BANDEJAS;4
15/03/2017;BANDEJAS;1
15/03/2017;MUFAS PUP;1
15/03/2017;BANDEJAS;4
15/03/2017;BANDEJAS;2
15/03/2017;BANDEJAS;2
15/03/2017;FIBRA OPTICA DE 48 HILOS;200
15/03/2017;FIBRA OPTICA DE 48 HILOS;143
15/03/2017;MUFAS PUP;1
15/03/2017;BANDEJAS;4
15/03/2017;BANDEJAS;1
16/03/2017;BANDEJAS;1
17/03/2017;BANDEJAS;1
18/03/2017;FIBRA OPTICA DE 48 HILOS;356
18/03/2017;MUFAS PUP;1
18/03/2017;BANDEJAS;8
18/03/2017;BANDEJAS;4
19/03/2017;BANDEJAS;1
20/03/2017;BANDEJAS;2
20/03/2017;FIBRA OPTICA DE 48 HILOS;178
20/03/2017;MUFAS PUP;1
20/03/2017;BANDEJAS;4
21/03/2017;BANDEJAS;2
21/03/2017;BANDEJAS;2
21/03/2017;MUFAS PUP;1
21/03/2017;BANDEJAS;5
22/03/2017;BANDEJAS;1
22/03/2017;FIBRA OPTICA DE 48 HILOS;300
22/03/2017;BANDEJAS;8
22/03/2017;MUFAS PUP;2
22/03/2017;CRUCETAS;2
22/03/2017;FIBRA OPTICA DE 48 HILOS;107
22/03/2017;BANDEJAS;8
23/03/2017;FIBRA OPTICA DE 48 HILOS;317
23/03/2017;MUFAS PUP;2
23/03/2017;BANDEJAS;8
23/03/2017;CRUCETAS;2
23/03/2017;BANDEJAS;1
25/03/2017;FIBRA OPTICA DE 48 HILOS;320
25/03/2017;BANDEJAS;8
25/03/2017;MUFAS PUP;2
25/03/2017;CRUCETAS;1
29/03/2017;MUFAS PUP;2
29/03/2017;BANDEJAS;8
29/03/2017;BANDEJAS;2
29/03/2017;BANDEJAS;2
3/04/2017;MUFAS PUP;1
3/04/2017;BANDEJAS;4
3/04/2017;BANDEJAS;1
3/04/2017;CRUCETAS;1
5/04/2017;BANDEJAS;1
7/04/2017;MUFAS PUP;1
7/04/2017;BANDEJAS;4
7/04/2017;FIBRA OPTICA DE 48 HILOS;300
8/04/2017;CRUCETAS;1
9/04/2017;BANDEJAS;1
9/04/2017;BANDEJAS;2
9/04/2017;FIBRA OPTICA DE 48 HILOS;400
9/04/2017;MUFAS PUP;2
9/04/2017;BANDEJAS;8
9/04/2017;CRUCETAS;2
9/04/2017;BANDEJAS;2
9/04/2017;MUFAS PUP;1
9/04/2017;BANDEJAS;4
10/04/2017;BANDEJAS;2
10/04/2017;MUFAS PUP;2
10/04/2017;BANDEJAS;8
10/04/2017;CRUCETAS;2
10/04/2017;FIBRA OPTICA DE 48 HILOS;338
11/04/2017;CRUCETAS;2
11/04/2017;FIBRA OPTICA DE 48 HILOS;246
11/04/2017;BANDEJAS;8
11/04/2017;BANDEJAS;2
11/04/2017;MUFAS PUP;2
11/04/2017;BANDEJAS;1
11/04/2017;CRUCETAS;2
11/04/2017;BANDEJAS;4
12/04/2017;BANDEJAS;4
12/04/2017;MUFAS PUP;1
12/04/2017;BANDEJAS;1
12/04/2017;FIBRA OPTICA DE 48 HILOS;207
12/04/2017;CRUCETAS;2
13/04/2017;MUFAS PUP;1
13/04/2017;FIBRA OPTICA DE 48 HILOS;475
13/04/2017;MUFAS PUP;1
13/04/2017;BANDEJAS;2
14/04/2017;FIBRA OPTICA DE 48 HILOS;182
14/04/2017;FIBRA OPTICA DE 48 HILOS;368
15/04/2017;BANDEJAS;1
15/04/2017;BANDEJAS;1
15/04/2017;BANDEJAS;4
15/04/2017;MUFAS PUP;1
15/04/2017;BANDEJAS;1
16/04/2017;BANDEJAS;2
16/04/2017;BANDEJAS;1
16/04/2017;FIBRA OPTICA DE 48 HILOS;200
16/04/2017;MUFAS PUP;2
16/04/2017;BANDEJAS;8
16/04/2017;CRUCETAS;2
16/04/2017;BANDEJAS;4
16/04/2017;MUFAS PUP;1
17/04/2017;BANDEJAS;1
17/04/2017;BANDEJAS;2
17/04/2017;CRUCETAS;2
17/04/2017;BANDEJAS;1
17/04/2017;BANDEJAS;2
17/04/2017;BANDEJAS;2
18/04/2017;BANDEJAS;1
18/04/2017;BANDEJAS;1
18/04/2017;MUFAS PUP;2
18/04/2017;FIBRA OPTICA DE 48 HILOS;295
18/04/2017;BANDEJAS;8
18/04/2017;CRUCETAS;2
18/04/2017;MUFAS PUP;1
18/04/2017;BANDEJAS;4
18/04/2017;CRUCETAS;1
18/04/2017;BANDEJAS;2
18/04/2017;BANDEJAS;1
18/04/2017;MUFAS PUP;2
18/04/2017;FIBRA OPTICA DE 48 HILOS;295
18/04/2017;BANDEJAS;8
18/04/2017;CRUCETAS;2
18/04/2017;MUFAS PUP;1
18/04/2017;BANDEJAS;4
18/04/2017;CRUCETAS;1
19/04/2017;MUFAS PUP;1
19/04/2017;BANDEJAS;4
19/04/2017;BANDEJAS;2
19/04/2017;BANDEJAS;1
20/04/2017;BANDEJAS;2
20/04/2017;FIBRA OPTICA DE 48 HILOS;180
20/04/2017;MUFAS PUP;1
20/04/2017;MUFAS PUP;1
20/04/2017;BANDEJAS;2
20/04/2017;BANDEJAS;4
20/04/2017;CRUCETAS;1
20/04/2017;CRUCETAS;1
20/04/2017;MUFAS PUP;1
20/04/2017;BANDEJAS;2
20/04/2017;BANDEJAS;2
20/04/2017;BANDEJAS;1
20/04/2017;BANDEJAS;1
21/04/2017;BANDEJAS;2
21/04/2017;BANDEJAS;1
21/04/2017;BANDEJAS;2
21/04/2017;BANDEJAS;2
21/04/2017;BANDEJAS;4
22/04/2017;FIBRA OPTICA DE 48 HILOS;278
22/04/2017;BANDEJAS;1
22/04/2017;FIBRA OPTICA DE 48 HILOS;146
22/04/2017;BANDEJAS;2
22/04/2017;BANDEJAS;2
22/04/2017;CRUCETAS;1
23/04/2017;MUFAS PUP;1
23/04/2017;BANDEJAS;3
23/04/2017;BANDEJAS;1
23/04/2017;MUFAS PUP;1
23/04/2017;BANDEJAS;4
23/04/2017;MUFAS PUP;1
23/04/2017;BANDEJAS;2
23/04/2017;MUFAS PUP;1
23/04/2017;BANDEJAS;4
23/04/2017;MUFAS PUP;1
23/04/2017;BANDEJAS;4
24/04/2017;BANDEJAS;1
24/04/2017;FIBRA OPTICA DE 48 HILOS;300
24/04/2017;MUFAS PUP;1
24/04/2017;BANDEJAS;1
25/04/2017;BANDEJAS;2
25/04/2017;BANDEJAS;2
26/04/2017;MUFAS PUP;1
26/04/2017;BANDEJAS;4
26/04/2017;BANDEJAS;1
27/04/2017;BANDEJAS;2
27/04/2017;BANDEJAS;2
27/04/2017;BANDEJAS;1
27/04/2017;BANDEJAS;2
27/04/2017;BANDEJAS;2
27/04/2017;BANDEJAS;1
28/04/2017;BANDEJAS;4
28/04/2017;MUFAS PUP;1
28/04/2017;MUFAS PUP;2
28/04/2017;BANDEJAS;8
28/04/2017;FIBRA OPTICA DE 48 HILOS;250
28/04/2017;BANDEJAS;1
28/04/2017;FIBRA OPTICA DE 48 HILOS;130
28/04/2017;MUFAS PUP;2
28/04/2017;BANDEJAS;4
28/04/2017;CRUCETAS;2
28/04/2017;CRUCETAS;2
28/04/2017;BANDEJAS;2
29/04/2017;MUFAS PUP;1
29/04/2017;BANDEJAS;1
29/04/2017;CRUCETAS;1
29/04/2017;BANDEJAS;2
30/04/2017;BANDEJAS;1
1/05/2017;MUFAS PUP;1
1/05/2017;BANDEJAS;4
1/05/2017;BANDEJAS;1
2/05/2017;BANDEJAS;2
2/05/2017;BANDEJAS;2
2/05/2017;BANDEJAS;1
2/05/2017;CRUCETAS;2
2/05/2017;BANDEJAS;1
2/05/2017;BANDEJAS;1
2/05/2017;BANDEJAS;1
3/05/2017;MUFAS PUP;1
4/05/2017;FIBRA OPTICA DE 48 HILOS;135
4/05/2017;BANDEJAS;1
4/05/2017;FIBRA OPTICA DE 48 HILOS;149
4/05/2017;MUFAS PUP;2
4/05/2017;BANDEJAS;5
4/05/2017;BANDEJAS;3
5/05/2017;BANDEJAS;2
5/05/2017;MUFAS PUP;1
5/05/2017;BANDEJAS;4
5/05/2017;CRUCETAS;1
5/05/2017;MUFAS PUP;1
5/05/2017;BANDEJAS;4
5/05/2017;BANDEJAS;6
5/05/2017;CRUCETAS;2
5/05/2017;BANDEJAS;2
6/05/2017;MUFAS PUP;4
6/05/2017;BANDEJAS;9
6/05/2017;MUFAS PUP;2
6/05/2017;BANDEJAS;3
6/05/2017;BANDEJAS;1
6/05/2017;FIBRA OPTICA DE 48 HILOS;217
6/05/2017;MUFAS PUP;1
6/05/2017;CRUCETAS;1
6/05/2017;BANDEJAS;2
7/05/2017;BANDEJAS;1
7/05/2017;BANDEJAS;1
7/05/2017;MUFAS PUP;1
7/05/2017;BANDEJAS;1
7/05/2017;BANDEJAS;1
7/05/2017;BANDEJAS;2
8/05/2017;BANDEJAS;2
8/05/2017;BANDEJAS;8
8/05/2017;FIBRA OPTICA DE 48 HILOS;240
8/05/2017;MUFAS PUP;2
8/05/2017;BANDEJAS;1
8/05/2017;BANDEJAS;4
8/05/2017;CRUCETAS;1
9/05/2017;BANDEJAS;1
9/05/2017;CRUCETAS;1
9/05/2017;BANDEJAS;1
9/05/2017;BANDEJAS;4
9/05/2017;MUFAS PUP;1
9/05/2017;BANDEJAS;1
9/05/2017;BANDEJAS;2
9/05/2017;BANDEJAS;2
10/05/2017;MUFAS PUP;1
10/05/2017;BANDEJAS;1
11/05/2017;FIBRA OPTICA DE 48 HILOS;200
11/05/2017;MUFAS PUP;2
11/05/2017;BANDEJAS;8
11/05/2017;CRUCETAS;1
11/05/2017;BANDEJAS;1
11/05/2017;MUFAS PUP;1
11/05/2017;BANDEJAS;5
11/05/2017;BANDEJAS;1
12/05/2017;BANDEJAS;2
12/05/2017;BANDEJAS;2
14/05/2017;BANDEJAS;2
15/05/2017;CRUCETAS;1
15/05/2017;BANDEJAS;1
15/05/2017;CRUCETAS;3
15/05/2017;FIBRA OPTICA DE 48 HILOS;450
15/05/2017;MUFAS PUP;1
15/05/2017;BANDEJAS;4
16/05/2017;BANDEJAS;1
16/05/2017;BANDEJAS;1
16/05/2017;CRUCETAS;1
16/05/2017;CRUCETAS;1
16/05/2017;BANDEJAS;1
16/05/2017;BANDEJAS;1
16/05/2017;BANDEJAS;1
16/05/2017;MUFAS PUP;1
16/05/2017;BANDEJAS;4
16/05/2017;CRUCETAS;1
16/05/2017;FIBRA OPTICA DE 48 HILOS;487
17/05/2017;FIBRA OPTICA DE 48 HILOS;259
17/05/2017;MUFAS PUP;4
17/05/2017;BANDEJAS;5
17/05/2017;BANDEJAS;2
17/05/2017;CRUCETAS;3
17/05/2017;BANDEJAS;4
17/05/2017;CRUCETAS;1
18/05/2017;BANDEJAS;2
18/05/2017;BANDEJAS;1
18/05/2017;CRUCETAS;1
18/05/2017;BANDEJAS;1
18/05/2017;CRUCETAS;1
19/05/2017;MUFAS PUP;1
19/05/2017;MUFAS PUP;1
19/05/2017;BANDEJAS;4
19/05/2017;FIBRA OPTICA DE 48 HILOS;257
19/05/2017;BANDEJAS;2
19/05/2017;CRUCETAS;2
20/05/2017;BANDEJAS;1
20/05/2017;FIBRA OPTICA DE 48 HILOS;300
20/05/2017;MUFAS PUP;2
20/05/2017;BANDEJAS;8
20/05/2017;CRUCETAS;2
20/05/2017;MUFAS PUP;1
20/05/2017;BANDEJAS;1
21/05/2017;BANDEJAS;2
21/05/2017;FIBRA OPTICA DE 48 HILOS;515
22/05/2017;BANDEJAS;1
22/05/2017;FIBRA OPTICA DE 48 HILOS;413
22/05/2017;BANDEJAS;1
22/05/2017;CRUCETAS;1
22/05/2017;MUFAS PUP;1
22/05/2017;BANDEJAS;4
23/05/2017;MUFAS PUP;2
23/05/2017;BANDEJAS;8
23/05/2017;CRUCETAS;1
23/05/2017;FIBRA OPTICA DE 48 HILOS;394
23/05/2017;BANDEJAS;1
23/05/2017;BANDEJAS;1
23/05/2017;BANDEJAS;2
24/05/2017;BANDEJAS;1
24/05/2017;BANDEJAS;2
24/05/2017;MUFAS PUP;2
24/05/2017;BANDEJAS;8
25/05/2017;FIBRA OPTICA DE 48 HILOS;1700
25/05/2017;BANDEJAS;4
25/05/2017;MUFAS PUP;1
25/05/2017;BANDEJAS;2
25/05/2017;CRUCETAS;1
25/05/2017;BANDEJAS;1
27/05/2017;MUFAS PUP;1
27/05/2017;BANDEJAS;4
27/05/2017;FIBRA OPTICA DE 48 HILOS;403
27/05/2017;MUFAS PUP;4
27/05/2017;BANDEJAS;18
27/05/2017;MUFAS PUP;1
27/05/2017;BANDEJAS;2
27/05/2017;FIBRA OPTICA DE 48 HILOS;77
27/05/2017;MUFAS PUP;2
27/05/2017;BANDEJAS;8
27/05/2017;FIBRA OPTICA DE 48 HILOS;154
27/05/2017;BANDEJAS;4
27/05/2017;FIBRA OPTICA DE 48 HILOS;75
27/05/2017;MUFAS PUP;2
27/05/2017;BANDEJAS;4
27/05/2017;BANDEJAS;1
27/05/2017;BANDEJAS;3
28/05/2017;BANDEJAS;1
28/05/2017;CRUCETAS;1
28/05/2017;BANDEJAS;2
28/05/2017;MUFAS PUP;1
28/05/2017;BANDEJAS;4
28/05/2017;MUFAS PUP;2
28/05/2017;BANDEJAS;2
28/05/2017;BANDEJAS;6
28/05/2017;MUFAS PUP;1
28/05/2017;BANDEJAS;1
29/05/2017;BANDEJAS;2
29/05/2017;BANDEJAS;1
29/05/2017;BANDEJAS;2
29/05/2017;BANDEJAS;2
29/05/2017;BANDEJAS;2
29/05/2017;MUFAS PUP;1
29/05/2017;BANDEJAS;1
30/05/2017;BANDEJAS;1
31/05/2017;MUFAS PUP;1
31/05/2017;BANDEJAS;4
31/05/2017;MUFAS PUP;1
31/05/2017;BANDEJAS;1
31/05/2017;FIBRA OPTICA DE 48 HILOS;256
1/06/2017;BANDEJAS;1
1/06/2017;BANDEJAS;4
1/06/2017;MUFAS PUP;1
2/06/2017;BANDEJAS;1
2/06/2017;FIBRA OPTICA DE 48 HILOS;235
2/06/2017;MUFAS PUP;1
2/06/2017;BANDEJAS;4
2/06/2017;BANDEJAS;4
2/06/2017;CRUCETAS;2
2/06/2017;BANDEJAS;2
2/06/2017;BANDEJAS;2
2/06/2017;MUFAS PUP;2
2/06/2017;BANDEJAS;5
3/06/2017;BANDEJAS;2
3/06/2017;BANDEJAS;1
4/06/2017;BANDEJAS;1
4/06/2017;BANDEJAS;1
5/06/2017;BANDEJAS;1
5/06/2017;BANDEJAS;1
5/06/2017;BANDEJAS;1
5/06/2017;BANDEJAS;1
5/06/2017;BANDEJAS;6
6/06/2017;BANDEJAS;1
6/06/2017;MUFAS PUP;2
6/06/2017;BANDEJAS;2
6/06/2017;FIBRA OPTICA DE 48 HILOS;191
6/06/2017;MUFAS PUP;2
6/06/2017;BANDEJAS;2
7/06/2017;BANDEJAS;1
7/06/2017;MUFAS PUP;1
7/06/2017;BANDEJAS;4
7/06/2017;CRUCETAS;1
7/06/2017;BANDEJAS;2
7/06/2017;FIBRA OPTICA DE 48 HILOS;119
7/06/2017;MUFAS PUP;2
7/06/2017;BANDEJAS;6
7/06/2017;BANDEJAS;2
7/06/2017;MUFAS PUP;1
7/06/2017;BANDEJAS;1
7/06/2017;FIBRA OPTICA DE 48 HILOS;164
7/06/2017;MUFAS PUP;2
7/06/2017;BANDEJAS;8
7/06/2017;BANDEJAS;1
8/06/2017;MUFAS PUP;1
8/06/2017;BANDEJAS;6
8/06/2017;MUFAS PUP;1
8/06/2017;BANDEJAS;4
